Date,bt_Open,bt_High,bt_Low,bt_Close,bt_Volume,bt_Market Cap,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap
24-Apr-17,1209.63,1250.94,1209.63,1250.15,235806000,20367443800,48.87,50.18,48.87,50.03,55580600,4553943109
23-Apr-17,1231.92,1232.2,1203.94,1207.21,258951008,19665994145,48.59,48.89,48.17,48.49,36234000,4412126295
22-Apr-17,1222.71,1235.56,1208.47,1231.71,249320000,20062753908,48.18,48.74,48.17,48.55,37357600,4416442028
21-Apr-17,1229.42,1235.94,1215.56,1222.05,272167008,19903192286,49.64,49.66,48.14,48.22,45048300,4385105012
20-Apr-17,1211.08,1240.79,1208.41,1229.08,315108000,20015137622,48.13,49.99,48.13,49.67,79600896,4515241563
19-Apr-17,1212.13,1215.51,1205.08,1210.29,288060992,19707045565,50.73,50.95,47.26,48.31,76281000,4389519738
18-Apr-17,1193.77,1217.57,1193.77,1211.67,270524000,19727334977,48.32,51.03,48.3,50.71,78748496,4606307174
17-Apr-17,1183.25,1194.9,1172.65,1193.91,253206000,19436033390,48.66,48.75,48.05,48.3,44013300,4386552041
16-Apr-17,1172.61,1187.22,1172.61,1182.94,183231008,19255408766,49.04,49.14,48.19,48.72,31343800,4422644315
15-Apr-17,1167.3,1188,1164.96,1172.52,203559008,19083656460,47.65,49.57,47.18,49.1,66207800,4455916490
14-Apr-17,1170.33,1190.8,1159.79,1167.54,254827008,19000400018,49.97,50.05,46.76,47.57,91674400,4315878957
13-Apr-17,1201.02,1205.89,1156.44,1169.28,351968992,19026699552,46.31,50.91,46.31,50.22,157200000,4554299452
12-Apr-17,1204.81,1207.14,1196.76,1200.37,288702016,19530680104,43.46,47.23,43.11,46.29,88045696,4196302994
11-Apr-17,1187.46,1208.07,1187.46,1205.01,216182000,19604036563,43.5,44.25,43.3,43.41,38303300,3933886291
10-Apr-17,1187.3,1190.34,1179.04,1187.13,215883008,19310642460,43.28,44.14,42.42,43.44,44061500,3935103268
9-Apr-17,1176.57,1197.21,1171.86,1187.87,242343008,19320511927,44.28,44.49,42.89,43.27,55143000,3918563431
8-Apr-17,1172.65,1184.98,1162.58,1175.95,209312000,19124327856,41.8,45.21,41.73,44.31,74138800,4011422381
7-Apr-17,1178.94,1186.58,1163.39,1176.9,317022016,19137747435,42.87,44.04,41.65,42.16,81474704,3815963046
6-Apr-17,1125.81,1188.37,1125.81,1182.68,511222016,19229356147,45.22,45.64,40.9,43.24,147120000,3912317959
5-Apr-17,1134.14,1135.09,1113.63,1124.78,414784000,18285857775,44.66,47.84,44.54,45.3,119733000,4097477788
4-Apr-17,1145.52,1156.44,1120.52,1133.25,436310016,18421262063,43.92,45.74,41.72,44.64,157568000,4036201194
3-Apr-17,1102.95,1151.74,1102.95,1143.81,580444032,18591158323,48.82,48.82,43.41,44.36,190512992,4009009196
2-Apr-17,1080.61,1107.59,1075.45,1102.17,514187008,17911915755,50.74,51.27,45.43,48.75,134604000,4404475423
1-Apr-17,1071.71,1091.72,1061.09,1080.5,289633984,17557597716,50.03,51.93,48.88,50.7,92461904,4579187936
31-Mar-17,1026.64,1074.92,1026.64,1071.79,447287008,17414322808,51.75,51.77,47.38,50.04,151416000,4517835716
30-Mar-17,1042.21,1049.29,1020.04,1026.43,352968992,16675587066,53.12,53.31,51.87,52.21,86885696,4711996588
29-Mar-17,1046.08,1055.13,1015.88,1039.97,298457984,16893415156,50.57,53.87,50.55,53.13,144998000,4793424049
28-Mar-17,1044.58,1064.65,1027.73,1047.15,326332000,17008241726,49.71,50.96,49.15,50.77,97745296,4579693493
27-Mar-17,972.05,1046.4,971.98,1045.77,372535008,16983801541,51.31,52.46,48.93,49.67,118978000,4478238274
26-Mar-17,974.02,1007.96,954.19,966.72,303668000,15698465531,50.77,51.8,49.28,50.52,106859000,4553738462
